X,Y,RowID,CrimeDateTime,CrimeCode,Location,Description,Inside_Outside,Weapon,Post,Gender,Age,Race,Ethnicity,District,Neighborhood,Latitude,Longitude,GeoLocation,Premise,VRIName,Total_Incidents
-76.5681999999999,39.2919000000001,12772,2022/07/02 22:30:00+00,5A,3400 LEVERTON AVE,BURGLARY,,,223,M,20,BLACK_OR_AFRICAN_AMERICAN,,SOUTHEAST,BALTIMORE HIGHLANDS,39.2919,-76.5682,"(39.2919,-76.5682)",,,1
-76.6792,39.3352,13223,2022/07/26 19:30:00+00,5F,3800 W COLD SPRING LN,BURGLARY,,,623,F,39,AMERICAN_INDIAN_OR_ALASKA_NATIVE,NOT_HISPANIC_OR_LATINO,NORTHWEST,CALLAWAY-GARRISON,39.3352,-76.6792,"(39.3352,-76.6792)",,,1
-76.5439,39.3657000000001,13224,2022/07/26 18:00:00+00,5F,3100 ORLANDO AVE,BURGLARY,,,424,M,47,,HISPANIC_OR_LATINO,NORTHEAST,NORTH HARFORD ROAD,39.3657,-76.5439,"(39.3657,-76.5439)",,,1
-76.669,39.3489000000001,13234,2022/07/26 05:30:00+00,5A,4900 PEMBRIDGE AVE,BURGLARY,,,614,M,52,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,NORTHWEST,CENTRAL PARK HEIGHTS,39.3489,-76.669,"(39.3489,-76.669)",,,1
-76.5982,39.2938,13330,2022/07/02 01:00:00+00,5F,200 SILVER CT,BURGLARY,,,212,F,24,BLACK_OR_AFRICAN_AMERICAN,,SOUTHEAST,DUNBAR-BROADWAY,39.2938,-76.5982,"(39.2938,-76.5982)",,,1
-76.6716,39.3418,13331,2022/07/02 03:30:00+00,5A,3400 DUPONT AVE,BURGLARY,,,614,M,50,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,NORTHWEST,CENTRAL PARK HEIGHTS,39.3418,-76.6716,"(39.3418,-76.6716)",,,1
-76.6475,39.2973000000001,13340,2022/07/02 14:50:00+00,5A,700 N MONROE ST,BURGLARY,,,722,M,42,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,WESTERN,MIDTOWN-EDMONDSON,39.2973,-76.6475,"(39.2973,-76.6475)",,,1
-76.5298,39.3421000000001,13347,2022/07/02 13:00:00+00,5B,4800 HAZELWOOD AVE,BURGLARY,,,445,,,,,NORTHEAST,FRANKFORD,39.3421,-76.5298,"(39.3421,-76.5298)",,,1
-76.6058,39.3117,13357,2022/07/02 21:15:00+00,5B,900 E NORTH AVE,BURGLARY,,,312,,,,,EASTERN,EAST BALTIMORE MIDWAY,39.3117,-76.6058,"(39.3117,-76.6058)",,,1
-76.6093999999999,39.3344000000001,13594,2022/07/02 17:00:00+00,5B,3700 GREENMOUNT AVE,BURGLARY,,,525,,,,,NORTHERN,WAVERLY,39.3344,-76.6094,"(39.3344,-76.6094)",,,1
-76.6129999999999,39.3203,13603,2022/07/02 18:00:00+00,5A,2600 GUILFORD AVE,BURGLARY,,,512,M,51,WHITE,,NORTHERN,HARWOOD,39.3203,-76.613,"(39.3203,-76.613)",,,1
-76.6129999999999,39.3203,13604,2022/07/02 18:00:00+00,5A,2600 GUILFORD AVE,BURGLARY,,,512,F,45,WHITE,,NORTHERN,HARWOOD,39.3203,-76.613,"(39.3203,-76.613)",,,1
-76.6758,39.2939000000001,13612,2022/07/02 20:25:00+00,5A,3500 EDMONDSON AVE,BURGLARY,,PERSONAL_WEAPONS,815,M,33,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,SOUTHWEST,ALLENDALE,39.2939,-76.6758,"(39.2939,-76.6758)",,,1
-76.6631,39.2955000000001,13614,2022/07/26 18:47:00+00,5A,2800 HARLEM AVE,BURGLARY,,,721,F,37,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,WESTERN,MOSHER,39.2955,-76.6631,"(39.2955,-76.6631)",,,1
-76.7091,39.3075000000001,13623,2022/07/26 10:04:00+00,5B,1900 N FOREST PARK AVE,BURGLARY,,,821,F,39,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,SOUTHWEST,FRANKLINTOWN,39.3075,-76.7091,"(39.3075,-76.7091)",,,1
-76.6876,39.3288000000001,13628,2022/07/26 21:00:00+00,5A,4100 LIBERTY HEIGHTS AVE,BURGLARY,,,621,M,43,,NOT_HISPANIC_OR_LATINO,NORTHWEST,CENTRAL FOREST PARK,39.3288,-76.6876,"(39.3288,-76.6876)",,,1
-76.624,39.2852,13702,2022/07/26 18:11:00+00,5F,600 PORTLAND ST,BURGLARY,,,941,M,22,WHITE,,SOUTHERN,RIDGELY'S DELIGHT,39.2852,-76.624,"(39.2852,-76.624)",,,1
-76.624,39.2852,13703,2022/07/26 18:11:00+00,5F,600 PORTLAND ST,BURGLARY,,,941,M,25,BLACK_OR_AFRICAN_AMERICAN,,SOUTHERN,RIDGELY'S DELIGHT,39.2852,-76.624,"(39.2852,-76.624)",,,1
-76.604,39.2725,13708,2022/07/26 09:12:00+00,5F,700 E FORT AVE,BURGLARY,,,943,F,48,WHITE,,SOUTHERN,RIVERSIDE,39.2725,-76.604,"(39.2725,-76.604)",,,1
-76.6761,39.2966000000001,13714,2022/07/26 11:00:00+00,5F,700 N GRANTLEY ST,BURGLARY,,,815,F,52,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,SOUTHWEST,EDGEWOOD,39.2966,-76.6761,"(39.2966,-76.6761)",,,1
-76.6185,39.2980000000001,13776,2022/07/26 23:00:00+00,5F,700 PARK AVE,BURGLARY,,,124,F,49,ASIAN,,CENTRAL,MOUNT VERNON,39.298,-76.6185,"(39.298,-76.6185)",,,1
-76.6185,39.2980000000001,13777,2022/07/26 23:00:00+00,5F,700 PARK AVE,BURGLARY,,,124,M,50,,,CENTRAL,MOUNT VERNON,39.298,-76.6185,"(39.298,-76.6185)",,,1
